Group,Code,en
Admin Xlations,Admin.ACCT_NO,Acct No
Admin Xlations,Admin.ACCT_STATUS.CLOSED,Acct No
Admin Xlations,Admin.ACCT_STATUS.SUSP,Acct No
Admin Xlations,Admin.ACCT_STATUS_ACTIVE,Active
Admin Xlations,Admin.ACCT_STATUS_CLOSED,Closed
Admin Xlations,Admin.ACCT_STATUS_SUSP,Suspended
Admin Xlations,Admin.Adjustment_Search.ACCT_NO,Account No
Admin Xlations,Admin.Adjustment_Search.ADJUSTMENT_SEARCH,Manual Adjustment Search
Admin Xlations,Admin.Adjustment_Search.ADJUST_DATE,Date Range
Admin Xlations,Admin.Adjustment_Search.ADJUST_DETAILS,Adjustment details
Admin Xlations,Admin.Adjustment_Search.AUTH_OPERATOR,Auth Operator
Admin Xlations,Admin.Adjustment_Search.CUST_INFO,Customer information
Admin Xlations,Admin.Adjustment_Search.FIND_ADJUSTMENTS,Find Adjustments
Admin Xlations,Admin.Adjustment_Search.POST_OPERATOR,Post Operator
Admin Xlations,Admin.Adjustment_Search.RAISE_OPERATOR,Raise Operator
Admin Xlations,Admin.Adjustment_Search.STATUS,Status
Admin Xlations,Admin.Adjustment_Search.TYPE,Type
Admin Xlations,Admin.Adjustment_Search_Results.ADJUSTMENT_AUTHORISE,Authorise Adjustments
Admin Xlations,Admin.Adjustment_Search_Results.ADJUSTMENT_DECLINE,Decline Adjustments
Admin Xlations,Admin.Adjustment_Search_Results.ADJUSTMENT_POST,Post Adjustments
Admin Xlations,Admin.Adjustment_Search_Results.SEARCH_RESULTS,Manual adjustments search results
Admin Xlations,Admin.BACK_BUTTON,Back
Admin Xlations,Admin.BET_STATUS_ACTIVE,Active
Admin Xlations,Admin.BET_STATUS_CANCELLED,Cancelled
Admin Xlations,Admin.BET_STATUS_PENDING,Pending
Admin Xlations,Admin.Bet_List.ACCT_NO,Account No
Admin Xlations,Admin.Bet_List.BET,Bet
Admin Xlations,Admin.Bet_List.BET_QUERY_RESULT,Bet Query Result
Admin Xlations,Admin.Bet_List.CCY,Currency
Admin Xlations,Admin.Bet_List.CUSTOMER,Customer
Admin Xlations,Admin.Bet_List.EVENT,Event
Admin Xlations,Admin.Bet_List.EVENT_CLASS,Event Class
Admin Xlations,Admin.Bet_List.EXPECT_TO_SETTLE,Expect to Settle
Admin Xlations,Admin.Bet_List.HCAP,HCap
Admin Xlations,Admin.Bet_List.LATE_BET,Late Bet
Admin Xlations,Admin.Bet_List.LEG,Leg
Admin Xlations,Admin.Bet_List.LEG_TYPE,Leg Type
Admin Xlations,Admin.Bet_List.MARKET,Market
Admin Xlations,Admin.Bet_List.NO_BETS_FOUND,No bets found
Admin Xlations,Admin.Bet_List.PLACED_AT,Placed at
Admin Xlations,Admin.Bet_List.PRICE,Price
Admin Xlations,Admin.Bet_List.RECEIPT,Receipt
Admin Xlations,Admin.Bet_List.REFUND,Refund
Admin Xlations,Admin.Bet_List.RESULT,Result
Admin Xlations,Admin.Bet_List.SELECTION,Selection
Admin Xlations,Admin.Bet_List.SETTLED,Settled
Admin Xlations,Admin.Bet_List.SORT,Sort
Admin Xlations,Admin.Bet_List.STAKE,Stake
Admin Xlations,Admin.Bet_List.WINNINGS,Winnings
Admin Xlations,Admin.Bet_Receipt.AFF_ID,Affiliate ID
Admin Xlations,Admin.Bet_Receipt.ANTEPOST_BET,Antepost Bet
Admin Xlations,Admin.Bet_Receipt.BET_DATE,Date placed (in OpenBet)
Admin Xlations,Admin.Bet_Receipt.BET_DESCRIPTION,Description
Admin Xlations,Admin.Bet_Receipt.BET_DETAILS,Bet Details
Admin Xlations,Admin.Bet_Receipt.BET_HAS_BEEN_CANCELLED,This bet has been cancelled
Admin Xlations,Admin.Bet_Receipt.BET_HAS_BEEN_SETTLED,This bet has been settled
Admin Xlations,Admin.Bet_Receipt.BET_NOT_SETTLED_YET,This bet hasn&apos;t been settled yet
Admin Xlations,Admin.Bet_Receipt.BET_TYPE,Bet Type
Admin Xlations,Admin.Bet_Receipt.CANCEL_BET_BUTTON,Cancel Bet
Admin Xlations,Admin.Bet_Receipt.CANNOT_BE_COMBINED,Cannot be combined
Admin Xlations,Admin.Bet_Receipt.CCY,Currency
Admin Xlations,Admin.Bet_Receipt.COMBI_BANKER,Banker
Admin Xlations,Admin.Bet_Receipt.COMBI_KEY,Key
Admin Xlations,Admin.Bet_Receipt.COMMENT,Comment
Admin Xlations,Admin.Bet_Receipt.CREATE_MAN_ADJ_BUTTON,Create Manual Adjustment
Admin Xlations,Admin.Bet_Receipt.EVENT,Event
Admin Xlations,Admin.Bet_Receipt.EVENT_CLASS,Event Class
Admin Xlations,Admin.Bet_Receipt.EVENT_TYPE,Event Type
Admin Xlations,Admin.Bet_Receipt.FIELD,Field
Admin Xlations,Admin.Bet_Receipt.IN_RUNNING,In Running
Admin Xlations,Admin.Bet_Receipt.LEG,Leg
Admin Xlations,Admin.Bet_Receipt.LEG_TYPE,Leg Type
Admin Xlations,Admin.Bet_Receipt.LINES,Lines
Admin Xlations,Admin.Bet_Receipt.LOSE_LINES,Lose lines
Admin Xlations,Admin.Bet_Receipt.MANUAL_SETTLEMENT,Manual Settlement
Admin Xlations,Admin.Bet_Receipt.MAN_BET_DESC_CONFIGURABLE,Manual Bet Description (Configurable)
Admin Xlations,Admin.Bet_Receipt.MAN_BET_DESC_ORIG,Manual Bet Description (Original)
